PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARD
Pierre Bruno,328,1,1,0,0,0,342,37,189,54,25,8,14,2,18,17,1,1,0,8,10,3,1,0,0,0,1,0
Giacomo Nicotera,305,0,0,0,0,0,127,31,0,56,26,2,2,0,62,16,6,2,1,0,2,1,0,0,0,0,0,0
Ange Capuozzo,240,1,0,0,0,0,302,36,208,52,20,4,20,3,7,4,2,1,1,3,3,2,1,0,0,0,0,0
James Ryan,400,2,0,0,0,0,235,45,0,61,16,0,1,3,66,2,6,5,1,5,4,4,0,0,13,5,0,0
Peter O'Mahony,277,0,0,0,0,0,101,26,6,39,13,0,3,2,34,4,5,0,1,5,3,1,0,0,15,0,0,0
Josh van der Flier,400,1,1,0,0,0,202,37,0,66,31,2,8,0,67,5,5,2,2,2,3,4,1,0,0,0,0,0
Conor Murray,195,0,2,0,0,0,36,15,673,207,193,1,3,1,19,7,1,0,0,2,9,2,0,0,0,0,0,0
Bundee Aki,268,1,2,0,0,0,274,45,0,58,14,1,9,2,30,5,1,2,1,4,3,3,0,0,0,0,0,0
Dave Kilcoyne,33,0,0,0,0,0,20,5,0,5,0,0,1,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0
Andrew Porter,363,1,0,0,0,0,88,28,0,43,15,0,2,1,38,9,0,2,1,1,1,13,1,4,0,0,0,0
Jack Conan,192,1,1,0,0,0,186,34,0,41,11,4,3,0,24,1,0,2,0,2,2,2,0,0,3,0,0,0
Iain Henderson,137,0,0,0,0,0,54,15,0,25,10,0,4,0,21,2,0,0,0,0,2,2,0,0,14,0,0,0
Ronan Kelleher,141,0,0,0,0,0,84,18,0,23,8,3,0,0,22,3,2,1,0,0,0,2,0,0,0,0,0,0
Tom O'Toole,118,0,0,0,0,0,79,16,0,17,2,1,2,0,20,0,0,1,1,0,0,0,0,0,0,0,0,0
Craig Casey,105,0,1,0,0,0,21,11,211,139,129,1,1,0,4,3,0,0,0,0,2,1,0,0,1,0,0,0
Ryan Baird,157,0,0,0,0,0,90,20,0,25,6,1,3,2,17,3,2,3,0,4,3,1,0,0,7,1,0,0
Stuart McCloskey,198,0,1,0,0,0,205,34,42,41,8,1,4,0,25,3,0,1,1,0,1,1,0,0,0,0,0,0
Finlay Bealham,158,0,2,0,0,0,28,12,0,23,11,0,2,0,29,1,3,0,0,0,1,1,0,1,0,0,0,0
James Lowe,400,3,2,0,0,0,535,42,1135,72,33,3,9,2,24,10,5,4,6,10,9,1,0,0,0,0,0,0
Ross Byrne,139,0,0,5,2,0,34,5,551,55,50,0,2,0,12,5,0,0,0,1,1,0,0,0,0,0,0,0
Caelan Doris,331,1,1,0,0,0,275,54,0,71,19,2,7,1,50,7,2,5,0,2,6,2,0,0,7,1,0,0
Jack Crowley,2,0,0,0,0,0,0,0,0,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
