PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Jean-Baptiste Gros,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,0.0,27.0,14.0,0.0,0.0,0.0,-0.0,-0.0,44.8,135,0.33185185185185184
Dave Kilcoyne,0.0,0.0,0.0,0.0,0.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,-0.0,-0.0,30.0,92,0.32608695652173914
Edoardo Padovani,15.0,7.0,0.0,15.0,0.0,39.6,14.0,20.0,7.0,0.0,7.0,0.0,-0.0,-0.0,124.6,387,0.3219638242894057
Peter O'Mahony,15.0,0.0,0.0,0.0,0.0,14.8,0.0,21.0,0.0,14.0,0.0,0.0,-0.0,-0.0,64.8,202,0.3207920792079208
Oli Kebble,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.0,19,0.3157894736842105
Jonathan Davies,0.0,0.0,0.0,0.0,0.0,8.200000000000001,0.0,7.0,0.0,7.0,7.0,0.0,-0.0,-0.0,29.200000000000003,94,0.31063829787234043
Callum Braley,15.0,0.0,0.0,0.0,0.0,5.6000000000000005,14.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,38.6,126,0.30634920634920637
Tomas Francis,15.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,14.0,0.0,0.0,0.0,-0.0,-0.0,66.0,217,0.30414746543778803
Ellis Jenkins,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,7.0,5.0,0.0,0.0,0.0,0.0,-0.0,-0.0,15.8,52,0.3038461538461539
James Hume,0.0,0.0,0.0,0.0,0.0,5.4,7.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,15.4,51,0.30196078431372547
Romain Ntamack,0.0,28.0,2.0,0.0,0.0,13.4,28.0,35.0,0.0,14.0,0.0,0.0,-0.0,-0.0,120.4,400,0.301
Tadhg Furlong,0.0,0.0,0.0,0.0,0.0,26.8,14.0,35.0,14.0,7.0,0.0,0.0,-0.0,-0.0,96.8,327,0.2960244648318043
Sebastian Negri,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,-0.0,-0.0,25.0,85,0.29411764705882354
Will Stuart,0.0,0.0,0.0,0.0,0.0,14.8,0.0,25.0,0.0,7.0,0.0,0.0,-0.0,-0.0,46.8,160,0.2925
Lewis Ludlam,0.0,0.0,0.0,0.0,0.0,11.4,0.0,7.0,0.0,0.0,0.0,0.0,-0.0,-0.0,18.4,63,0.292063492063492
David Sisi,0.0,0.0,0.0,0.0,0.0,1.8,0.0,11.0,0.0,0.0,0.0,0.0,-0.0,-0.0,12.8,44,0.29090909090909095
Demba Bamba,0.0,0.0,0.0,0.0,0.0,5.800000000000001,0.0,11.0,0.0,0.0,7.0,0.0,-0.0,-0.0,23.8,88,0.27045454545454545
Wyn Jones,0.0,0.0,0.0,0.0,0.0,13.200000000000001,0.0,36.0,0.0,7.0,0.0,0.0,-0.0,-0.0,56.2,208,0.27019230769230773
Henry Slade,0.0,0.0,0.0,0.0,0.0,43.400000000000006,35.0,29.0,0.0,0.0,0.0,0.0,-0.0,-0.0,107.4,400,0.2685
Filippo Alongi,0.0,0.0,0.0,0.0,0.0,2.2,0.0,5.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.2,27,0.26666666666666666
Leonardo Marin,0.0,0.0,0.0,0.0,0.0,18.400000000000002,21.0,27.0,0.0,0.0,0.0,0.0,-0.0,-0.0,66.4,251,0.26454183266932274
Peato Mauvaka,0.0,0.0,0.0,0.0,0.0,10.8,7.0,10.0,0.0,7.0,0.0,0.0,-0.0,-0.0,34.8,132,0.2636363636363636
George Ford,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.2,28,0.2571428571428572
Luca Bigi,0.0,0.0,0.0,0.0,0.0,3.2,0.0,11.0,0.0,0.0,0.0,0.0,-0.0,-0.0,14.2,56,0.25357142857142856
Stuart McInally,0.0,0.0,0.0,0.0,0.0,13.600000000000001,0.0,17.0,0.0,7.0,0.0,0.0,-0.0,-0.0,37.6,149,0.2523489932885906
Mohamed Haouas,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,8.0,7.0,0.0,0.0,0.0,-0.0,-0.0,16.4,65,0.2523076923076923
Rory Sutherland,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,0.0,7.0,0.0,7.0,0.0,0.0,-0.0,-0.0,17.4,69,0.25217391304347825
Tiziano Pasquali,0.0,0.0,0.0,0.0,0.0,4.2,0.0,18.0,7.0,0.0,7.0,0.0,-0.0,-0.0,36.2,159,0.22767295597484277
Jamie Ritchie,0.0,0.0,0.0,0.0,0.0,6.4,0.0,7.0,0.0,0.0,0.0,0.0,-0.0,-0.0,13.4,59,0.2271186440677966
Adam Beard,0.0,0.0,0.0,0.0,0.0,15.600000000000001,0.0,52.0,14.0,7.0,0.0,0.0,-0.0,-0.0,88.6,400,0.22149999999999997
Nick Isiekwe,0.0,0.0,0.0,0.0,0.0,11.4,7.0,25.0,0.0,0.0,0.0,0.0,-0.0,-0.0,43.4,204,0.21274509803921568
Ben Youngs,0.0,7.0,0.0,0.0,0.0,5.2,14.0,12.0,0.0,0.0,7.0,0.0,-0.0,-0.0,45.2,218,0.20733944954128442
Charlie Ewels,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,7.0,0.0,7.0,-0.0,-10.0,31.0,153,0.20261437908496732
Uini Atonio,0.0,0.0,0.0,0.0,0.0,14.8,7.0,14.0,14.0,0.0,0.0,0.0,-0.0,-0.0,49.8,247,0.20161943319838055
Cameron Woki,0.0,0.0,0.0,0.0,0.0,14.600000000000001,0.0,32.0,7.0,14.0,0.0,0.0,-0.0,-0.0,67.6,337,0.200593471810089
Bradley Roberts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,5,0.2
Pietro Ceccarelli,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,0.0,31.0,0.0,0.0,0.0,0.0,-0.0,-0.0,34.4,184,0.18695652173913044
